trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-83.34528373488777,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-82.53434943628609,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,8,-2.259004821934055,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-122.31799665866811,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,3,-87.95538265149919,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-75.1764312811801,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-88.34741232446797,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-164.56860334918798,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-70.47488780669151,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-207.90006368136585,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-162.40743512085982,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-29.14409591915759,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-159.08308874495143,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-240.03258800416492,"{0: 4, 1: 5, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-164.51831479809826,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-96.63696246694587,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-164.51516166635474,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-83.7859528786523,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",35,0,-302.29213226864357,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 6}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",35,0,-175.48782440976387,"{0: 24, 1: 0, 2: 7, 3: 1, 4: 3}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-124.5566215504911,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,6,-88.08652097969167,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-114.8417285335279,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-92.39724490633466,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-88.59888752841171,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,1,-135.13936139544737,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 2}",1
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-128.63255542200173,"{0: 10, 1: 6, 2: 7, 3: 2, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,3,-165.29286865448023,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 2}",1
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-145.57089361239323,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-53.707143486514155,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-123.59661325872801,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,10,-5.7220844545365335,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-29.284327634619704,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-81.80681096728394,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",30,0,-40.82295103782495,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-104.34907803427042,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",30,0,-76.2784511786893,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-208.57043563831593,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",35,0,-244.92728245905533,"{0: 22, 1: 2, 2: 4, 3: 3, 4: 4}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-147.7856260799044,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",30,0,-65.48358095329863,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-177.59159344565262,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-140.86995410810152,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,0,-201.924566363984,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-120.90574802894284,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-181.82389998548098,"{0: 9, 1: 5, 2: 9, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,14,-8.068152206007621,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.002, 'e': 0.910282762240767}",30,0,-75.1715919456292,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",30,0,-149.43003441398952,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",25,0,-29.583224081683756,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-119.46099052163932,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
