trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.97010032515902,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-171.0568562047474,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-79.10439256848467,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-194.25735034141047,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,0,-266.9168986613275,"{0: 10, 1: 4, 2: 3, 3: 5, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,0,-186.940678345164,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-203.55298974999212,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,-57.82254806671695,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,0,-161.12166234292062,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",25,0,-34.03999272657721,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,0,-144.8391564000752,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,0,-134.23703481267214,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",30,0,-208.66147011886693,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,-137.80591917124403,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,0,-123.08835310940457,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",30,0,-165.20004128478402,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-79.10382289502373,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,0,-197.27781162288494,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",20,0,-81.97736942752161,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-112.58327026907891,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-137.09250923633707,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-89.08648263522663,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-116.95025054108973,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-71.0643492076033,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-165.4495460008991,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-168.99801899026028,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,2,-257.44049500479247,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 4}",1
8,True,"{'a': 0, 'e': 0}",25,0,-119.78335308593216,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-108.99776507392136,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-207.7668983381648,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
